Date,Open,High,Low,Close,Adj Close,Volume
2023-10-03,10996.000000,11070.000000,10884.000000,10908.000000,10739.553711,1297146
2023-10-04,10900.000000,10940.451172,10790.000000,10892.000000,10723.800781,2200732
2023-10-05,10912.000000,10990.000000,10858.000000,10902.000000,10733.645508,1102217
2023-10-06,10956.000000,10982.000000,10858.000000,10942.000000,10773.028320,1250802
2023-10-09,10908.000000,10956.000000,10810.000000,10856.000000,10688.356445,2558599
2023-10-10,10930.000000,11022.000000,10784.000000,10978.000000,10808.472656,1237326
2023-10-11,10970.000000,11062.000000,10868.000000,10944.000000,10774.997070,2745784
2023-10-12,10982.000000,11152.000000,10884.000000,11120.000000,10948.279297,1536321
2023-10-13,11108.000000,11176.000000,10884.000000,10974.000000,10804.534180,1162288
2023-10-16,10928.000000,10996.000000,10831.200195,10972.000000,10802.565430,1702777
2023-10-17,10998.000000,11304.000000,10910.000000,11270.000000,11095.962891,2225240
2023-10-18,11176.000000,11244.000000,10593.557617,10612.000000,10448.124023,3678685
2023-10-19,10538.000000,10652.000000,10440.000000,10488.000000,10326.039063,2131732
2023-10-20,10474.000000,10534.000000,10364.000000,10430.000000,10268.934570,2024298
2023-10-23,10464.000000,10522.000000,10082.000000,10100.000000,9944.031250,2181139
2023-10-24,10264.000000,10456.000000,10062.000000,10438.000000,10276.811523,2379083
2023-10-25,10466.000000,10566.000000,10372.000000,10546.000000,10383.143555,2347407
2023-10-26,10438.000000,10514.000000,10368.000000,10392.000000,10231.521484,2652740
2023-10-27,10288.000000,10458.000000,10102.000000,10124.000000,9967.660156,1707716
2023-10-30,10140.000000,10320.000000,10088.000000,10218.000000,10060.208984,4438387
2023-10-31,10278.000000,10330.000000,10162.000000,10250.000000,10091.714844,2913453
2023-11-01,10298.000000,10402.000000,10162.000000,10336.000000,10176.386719,1837433
2023-11-02,10376.000000,10440.000000,10264.000000,10362.000000,10201.985352,1595747
2023-11-03,10334.000000,10416.000000,10160.000000,10270.000000,10111.405273,1219573
2023-11-06,10248.000000,10320.000000,10194.000000,10276.000000,10117.312500,1893919
2023-11-07,10208.000000,10290.000000,10146.000000,10230.000000,10072.023438,1729632
2023-11-08,10248.000000,10400.000000,10170.000000,10170.000000,10012.950195,4678524
2023-11-09,10600.000000,10600.000000,10274.000000,10436.000000,10274.841797,2005703
2023-11-10,10402.000000,10510.000000,10026.000000,10090.000000,9934.185547,1775830
2023-11-13,10182.000000,10314.000000,10122.000000,10248.000000,10089.745117,1737947
2023-11-14,10304.000000,10332.000000,10146.000000,10186.000000,10028.703125,1464278
2023-11-15,10230.000000,10290.000000,10058.000000,10090.000000,9934.185547,1944444
2023-11-16,10066.000000,10178.000000,10012.000000,10166.000000,10009.011719,2120644
2023-11-17,10212.000000,10328.000000,10178.000000,10260.000000,10101.559570,1631489
2023-11-20,10132.000000,10246.000000,10042.000000,10106.000000,9949.938477,1727350
2023-11-21,10106.000000,10192.000000,10040.000000,10192.000000,10034.610352,858427
2023-11-22,10176.000000,10238.000000,10072.000000,10086.000000,9930.247070,1785560
2023-11-23,10110.000000,10246.000000,9983.000000,10174.000000,10016.887695,735970
2023-11-24,10198.000000,10264.000000,10118.000000,10180.000000,10022.795898,1108994
2023-11-27,10142.000000,10236.000000,9976.000000,9976.000000,9821.945313,1447262
2023-11-28,9956.000000,10068.000000,9851.000000,9900.000000,9747.119141,3203391
2023-11-29,9894.000000,10084.000000,9778.000000,10032.000000,9877.081055,1725710
2023-11-30,10036.000000,10158.000000,9895.000000,10126.000000,9969.628906,9359776
2023-12-01,10188.000000,10304.000000,9993.000000,10198.000000,10040.517578,1154807
2023-12-04,10138.000000,10278.000000,10086.000000,10266.000000,10107.467773,1170647
2023-12-05,10214.000000,10328.000000,10080.000000,10144.000000,9987.351563,1325441
2023-12-06,10194.000000,10256.000000,10082.000000,10130.000000,9973.567383,2642947
2023-12-07,10110.000000,10190.000000,10026.000000,10098.000000,9942.061523,1517762
2023-12-08,10124.000000,10196.000000,10036.000000,10122.000000,9965.691406,1060358
2023-12-11,10096.000000,10150.000000,9949.000000,10096.000000,9940.092773,1756079
2023-12-12,10124.000000,10283.726563,10104.000000,10172.000000,10014.918945,2707895
2023-12-13,10212.000000,10498.000000,10110.000000,10390.000000,10229.552734,2683892
2023-12-14,10532.000000,10690.000000,10328.000000,10468.000000,10306.347656,5495627
2023-12-15,10362.000000,10430.000000,10140.000000,10186.000000,10028.703125,5082046
2023-12-18,10220.000000,10382.000000,10124.000000,10356.000000,10196.077148,1600437
2023-12-19,10356.000000,10424.000000,10272.000000,10346.000000,10186.232422,2158756
2023-12-20,10412.000000,10560.000000,10282.000000,10484.000000,10322.100586,3950260
2023-12-21,10436.000000,10552.000000,10368.000000,10480.000000,10318.163086,2224399
2023-12-22,10350.000000,10454.000000,10350.000000,10436.000000,10274.841797,651734
2023-12-27,10472.000000,10622.000000,10428.000000,10528.000000,10365.421875,1044256
2023-12-28,10564.000000,10712.000000,10350.000000,10574.000000,10410.710938,708410
2023-12-29,10526.000000,10662.000000,10306.000000,10600.000000,10436.309570,455940
2024-01-02,10632.000000,10838.000000,10534.000000,10788.000000,10621.406250,1688733
2024-01-03,10686.000000,10810.000000,10626.000000,10740.000000,10574.147461,2972338
2024-01-04,10768.000000,10902.000000,10746.000000,10864.000000,10696.232422,1896074
2024-01-05,10756.000000,10842.000000,10714.000000,10758.000000,10591.870117,1161094
2024-01-08,10716.000000,10772.000000,10676.000000,10772.000000,10605.653320,1921363
2024-01-09,10834.000000,10918.000000,10814.000000,10902.000000,10733.645508,3005457
2024-01-10,10830.000000,10926.000000,10810.000000,10900.000000,10731.676758,1411866
2024-01-11,10928.000000,11022.000000,10716.000000,10830.000000,10662.757813,2156932
2024-01-12,10838.000000,10888.000000,10814.000000,10862.000000,10694.263672,1212597
2024-01-15,10824.000000,10900.000000,10804.000000,10852.000000,10684.417969,2283608
2024-01-16,10714.000000,10766.000000,10478.000000,10646.000000,10481.599609,2913853
2024-01-17,10500.000000,10570.000000,10360.000000,10446.000000,10284.687500,2279952
2024-01-18,10366.000000,10434.000000,10342.000000,10432.000000,10270.904297,4541622
2024-01-19,10458.000000,10654.000000,10458.000000,10508.000000,10345.730469,2568801
2024-01-22,10468.000000,10904.000000,10452.000000,10590.000000,10426.463867,4529556
2024-01-23,10584.000000,10626.000000,10370.000000,10452.000000,10290.594727,3506309
2024-01-24,10508.000000,10536.000000,10398.000000,10454.000000,10292.564453,1801745
2024-01-25,10432.000000,10474.000000,10362.000000,10448.000000,10286.657227,1237869
2024-01-26,10526.000000,10660.000000,10521.679688,10546.000000,10383.143555,2343648
2024-01-29,10550.000000,10614.000000,10512.000000,10568.000000,10404.803711,1795640
2024-01-30,10578.000000,10682.000000,10562.000000,10586.000000,10422.525391,1999073
2024-01-31,10610.000000,10654.000000,10500.000000,10500.000000,10337.853516,2715037
2024-02-01,10548.000000,10566.000000,10392.000000,10430.000000,10268.934570,2269904
2024-02-02,10496.000000,10510.129883,10360.000000,10360.000000,10200.015625,2943228
2024-02-05,10360.000000,10432.000000,10306.000000,10360.000000,10200.015625,1682816
2024-02-06,10372.000000,10544.000000,10314.000000,10534.000000,10371.329102,1552211
2024-02-07,10604.000000,10652.000000,10490.000000,10490.000000,10328.007813,2075810
2024-02-08,10404.000000,10490.000000,9700.000000,9823.000000,9671.308594,6500972
2024-02-09,9891.000000,9983.000000,9722.000000,9761.000000,9610.265625,5562493
2024-02-12,9700.000000,9734.000000,9461.000000,9501.000000,9354.281250,4460371
2024-02-13,9586.000000,9670.000000,9550.000000,9600.000000,9451.751953,2232817
2024-02-14,9649.000000,9736.000000,9541.000000,9724.000000,9573.836914,6274728
2024-02-15,9729.000000,9867.000000,9674.000000,9826.000000,9674.261719,2047764
2024-02-16,9900.000000,10112.000000,9849.000000,10094.000000,9938.123047,2703767
2024-02-19,10338.000000,10498.000000,10294.000000,10418.000000,10257.120117,1881311
2024-02-20,10370.000000,10428.396484,10204.000000,10204.000000,10046.424805,2386943
2024-02-21,10126.000000,10180.000000,10068.000000,10102.000000,9946.000000,1580412
2024-02-22,10030.000000,10036.000000,9822.000000,10036.000000,10036.000000,8891048
2024-02-23,10008.000000,10254.000000,9998.000000,10220.000000,10220.000000,4911338
2024-02-26,10222.000000,10360.000000,10222.000000,10254.000000,10254.000000,5309043
2024-02-27,10246.000000,10345.467773,10214.000000,10328.000000,10328.000000,6762881
2024-02-28,10318.000000,10344.000000,10180.000000,10180.000000,10180.000000,2604518
2024-02-29,10202.000000,10202.000000,9982.001953,9983.000000,9983.000000,4557961
2024-03-01,10046.000000,10114.412109,10000.994141,10080.000000,10080.000000,2743747
2024-03-04,10108.000000,10128.000000,10000.724609,10046.000000,10046.000000,2098271
2024-03-05,10090.000000,10162.000000,10012.000000,10112.000000,10112.000000,1476068
2024-03-06,10100.000000,10158.000000,10008.000000,10140.000000,10140.000000,1953799
2024-03-07,10132.000000,10250.000000,10082.000000,10234.000000,10234.000000,2649188
2024-03-08,10214.000000,10258.000000,10142.000000,10196.000000,10196.000000,1607116
2024-03-11,10198.000000,10450.000000,10198.000000,10450.000000,10450.000000,8877859
2024-03-12,10498.000000,10534.000000,10430.000000,10436.000000,10436.000000,3246477
2024-03-13,10434.000000,10516.000000,10348.000000,10458.000000,10458.000000,4183231
2024-03-14,10480.000000,10490.000000,10388.000000,10402.000000,10402.000000,2846632
2024-03-15,10390.000000,10488.000000,10286.000000,10294.000000,10294.000000,5253583
2024-03-18,10340.000000,10340.000000,10240.000000,10290.000000,10290.000000,3885042
2024-03-19,10236.000000,10248.000000,10162.000000,10228.000000,10228.000000,1773910
2024-03-20,10218.000000,10236.000000,10154.000000,10164.000000,10164.000000,1102531
2024-03-21,10166.000000,10446.000000,10166.000000,10428.000000,10428.000000,1835813
2024-03-22,10390.000000,10548.000000,10380.000000,10482.000000,10482.000000,1243838
2024-03-25,10434.000000,10468.000000,10352.000000,10394.000000,10394.000000,1557853
2024-03-26,10368.000000,10440.000000,10314.000000,10440.000000,10440.000000,1745893
2024-03-27,10460.000000,10748.000000,10454.000000,10742.000000,10742.000000,2607662
2024-03-28,10756.000000,10780.000000,10674.000000,10678.000000,10678.000000,1759110
2024-04-02,10810.000000,10814.000000,10562.000000,10604.000000,10604.000000,1901480
